PassengerId,Pclass,Sex,SibSp,Parch,,survived,,,,,,
892,3,1,0,0,,1,,,,,,
893,3,2,1,0,,2,,,,,,
894,2,1,0,0,,1,,,,,,female=2
895,3,1,0,0,,1,,,,,,male=1
896,3,2,1,1,,2,,,,,,
897,3,1,0,0,,1,,,,,,survived=1
898,3,2,0,0,,2,,,,,,not survived=2
899,2,1,1,1,,1,,,,,,
900,3,2,0,0,,2,,,,,,
901,3,1,2,0,,1,,,,,,
902,3,1,0,0,,1,,,,,,
903,1,1,0,0,,1,,,,,,
904,1,2,1,0,,2,,,,,,
905,2,1,1,0,,1,,,,,,
906,1,2,1,0,,2,,,,,,
907,2,2,1,0,,2,,,,,,
908,2,1,0,0,,1,,,,,,
909,3,1,0,0,,1,,,,,,
910,3,2,1,0,,2,,,,,,
911,3,2,0,0,,2,,,,,,
912,1,1,1,0,,1,,,,,,
913,3,1,0,1,,1,,,,,,
914,1,2,0,0,,2,,,,,,
915,1,1,0,1,,1,,,,,,
916,1,2,1,3,,2,,,,,,
917,3,1,1,0,,1,,,,,,
918,1,2,0,1,,2,,,,,,
919,3,1,0,0,,1,,,,,,
920,1,1,0,0,,1,,,,,,
921,3,1,2,0,,1,,,,,,
922,2,1,1,0,,1,,,,,,
923,2,1,2,0,,1,,,,,,
924,3,2,1,2,,2,,,,,,
925,3,2,1,2,,2,,,,,,
926,1,1,1,0,,1,,,,,,
927,3,1,0,0,,1,,,,,,
928,3,2,0,0,,2,,,,,,
929,3,2,0,0,,2,,,,,,
930,3,1,0,0,,1,,,,,,
931,3,1,0,0,,1,,,,,,
932,3,1,0,1,,1,,,,,,
933,1,1,0,0,,1,,,,,,
934,3,1,0,0,,1,,,,,,
935,2,2,0,0,,2,,,,,,
936,1,2,1,0,,2,,,,,,
937,3,1,0,0,,1,,,,,,
938,1,1,0,0,,1,,,,,,
939,3,1,0,0,,1,,,,,,
940,1,2,0,0,,2,,,,,,
941,3,2,0,2,,2,,,,,,
942,1,1,1,0,,1,,,,,,
943,2,1,0,0,,1,,,,,,
944,2,2,2,1,,2,,,,,,
945,1,2,3,2,,2,,,,,,
946,2,1,0,0,,1,,,,,,
947,3,1,4,1,,1,,,,,,
948,3,1,0,0,,1,,,,,,
949,3,1,0,0,,1,,,,,,
950,3,1,1,0,,1,,,,,,
951,1,2,0,0,,2,,,,,,
952,3,1,0,0,,1,,,,,,
953,2,1,0,0,,1,,,,,,
954,3,1,0,0,,1,,,,,,
955,3,2,0,0,,2,,,,,,
956,1,1,2,2,,1,,,,,,
957,2,2,0,0,,2,,,,,,
958,3,2,0,0,,2,,,,,,
959,1,1,0,0,,1,,,,,,
960,1,1,0,0,,1,,,,,,
961,1,2,1,4,,2,,,,,,
962,3,2,0,0,,2,,,,,,
963,3,1,0,0,,1,,,,,,
964,3,2,0,0,,2,,,,,,
965,1,1,0,0,,1,,,,,,
966,1,2,0,0,,2,,,,,,
967,1,1,0,0,,1,,,,,,
968,3,1,0,0,,1,,,,,,
969,1,2,2,0,,2,,,,,,
970,2,1,0,0,,1,,,,,,
971,3,2,0,0,,2,,,,,,
972,3,1,1,1,,1,,,,,,
973,1,1,1,0,,1,,,,,,
974,1,1,0,0,,1,,,,,,
975,3,1,0,0,,1,,,,,,
976,2,1,0,0,,1,,,,,,
977,3,1,1,0,,1,,,,,,
978,3,2,0,0,,2,,,,,,
979,3,2,0,0,,2,,,,,,
980,3,2,0,0,,2,,,,,,
981,2,1,1,1,,1,,,,,,
982,3,2,1,0,,2,,,,,,
983,3,1,0,0,,1,,,,,,
984,1,2,1,2,,2,,,,,,
